timestamp,target
2023-09-17 01:10:00+00:00,2.86371
2023-09-17 03:18:00+00:00,1.04288
2023-09-17 05:01:00+00:00,0.58453
2023-09-17 07:02:00+00:00,0.5576
2023-09-17 08:58:00+00:00,1.75921
2023-09-17 13:00:00+00:00,0.85515
2023-09-17 15:01:00+00:00,0.82386
2023-09-17 17:15:00+00:00,0.97201
2023-09-17 19:12:00+00:00,1.10152
2023-09-17 20:41:00+00:00,2.05616
2023-09-17 23:05:00+00:00,2.23105
2023-09-18 01:07:00+00:00,0.81205
2023-09-18 03:10:00+00:00,1.08163
2023-09-18 05:22:00+00:00,1.34437
2023-09-18 06:41:00+00:00,2.04828
2023-09-18 07:07:00+00:00,1.86531
2023-09-18 08:29:00+00:00,2.73336
2023-09-18 11:16:00+00:00,1.38519
2023-09-18 13:24:00+00:00,0.84437
2023-09-18 15:23:00+00:00,0.99916
2023-09-18 17:02:00+00:00,1.09779
2023-09-18 19:01:00+00:00,1.06671
2023-09-18 20:54:00+00:00,1.59966
2023-09-18 23:01:00+00:00,1.61188
2023-09-19 01:01:00+00:00,1.52692
2023-09-19 03:01:00+00:00,1.56381
2023-09-19 05:26:00+00:00,2.02632
2023-09-19 07:07:00+00:00,1.76522
2023-09-19 08:52:00+00:00,1.77973
2023-09-19 11:21:00+00:00,0.75071
